Ranking,Title,Rating
1,The Shawshank Redemption,9.3
2,The Godfather,9.2
3,The Dark Knight,9.0
4,The Godfather Part II,9.0
5,12 Angry Men,9.0
6,Schindler's List,9.0
7,The Lord of the Rings: The Return of the King,9.0
8,Pulp Fiction,8.9
9,The Lord of the Rings: The Fellowship of the Ring,8.9
10,"The Good, the Bad and the Ugly",8.8
11,Forrest Gump,8.8
12,The Lord of the Rings: The Two Towers,8.8
13,Fight Club,8.8
14,Dune: Part Two,8.8
15,Inception,8.8
16,Star Wars: Episode V - The Empire Strikes Back,8.7
17,The Matrix,8.7
18,Goodfellas,8.7
19,One Flew Over the Cuckoo's Nest,8.7
20,Se7en,8.6
21,Interstellar,8.7
22,It's a Wonderful Life,8.6
23,Seven Samurai,8.6
24,The Silence of the Lambs,8.6
25,Saving Private Ryan,8.6
26,City of God,8.6
27,Life Is Beautiful,8.6
28,The Green Mile,8.6
29,Terminator 2: Judgment Day,8.6
30,Star Wars: Episode IV - A New Hope,8.6
31,Back to the Future,8.5
32,Spirited Away,8.6
33,The Pianist,8.5
34,Parasite,8.5
35,Spider-Man: Across the Spider-Verse,8.6
36,Psycho,8.5
37,Gladiator,8.5
38,The Lion King,8.5
39,Léon: The Professional,8.5
40,The Departed,8.5
41,American History X,8.5
42,Whiplash,8.5
43,The Prestige,8.5
44,Grave of the Fireflies,8.5
45,Harakiri,8.6
46,The Usual Suspects,8.5
47,Casablanca,8.5
48,The Intouchables,8.5
49,Cinema Paradiso,8.5
50,Modern Times,8.5
51,Rear Window,8.5
52,Once Upon a Time in the West,8.5
53,Alien,8.5
54,City Lights,8.5
55,12th Fail,9.0
56,Apocalypse Now,8.4
57,Django Unchained,8.5
58,Memento,8.4
59,WALL·E,8.4
60,Raiders of the Lost Ark,8.4
61,The Lives of Others,8.4
62,Sunset Blvd.,8.4
63,Paths of Glory,8.4
64,Avengers: Infinity War,8.4
65,Spider-Man: Into the Spider-Verse,8.4
66,The Shining,8.4
67,Witness for the Prosecution,8.4
68,The Great Dictator,8.4
69,Aliens,8.4
70,Inglourious Basterds,8.4
71,The Dark Knight Rises,8.4
72,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4
73,American Beauty,8.3
74,Oldboy,8.3
75,Coco,8.4
76,Amadeus,8.4
77,Toy Story,8.3
78,The Boat,8.4
79,Braveheart,8.3
80,Avengers: Endgame,8.4
81,Joker,8.4
82,Princess Mononoke,8.3
83,Good Will Hunting,8.3
84,Your Name.,8.4
85,Once Upon a Time in America,8.3
86,High and Low,8.4
87,3 Idiots,8.4
88,Oppenheimer,8.3
89,Singin' in the Rain,8.3
90,Capernaum,8.4
91,Requiem for a Dream,8.3
92,Come and See,8.4
93,Toy Story 3,8.3
94,Star Wars: Episode VI - Return of the Jedi,8.3
95,Eternal Sunshine of the Spotless Mind,8.3
96,The Hunt,8.3
97,2001: A Space Odyssey,8.3
98,Reservoir Dogs,8.3
99,Ikiru,8.3
100,Lawrence of Arabia,8.3
